input filename,count,PD number,start idx,end idx,Grouping_Envelope_Analysis,Energy_A5,Energy_D5,Energy_D4,Energy_D3,Energy_D2,Energy_D1,PC1,PC2,PC3,Simple PCA Feature Cluster ID
Ch3.csv,1,1.0,48221,54521,1,0.9967172096288406,0.0001239654581185,0.0002258078191945,0.0004050856554524,0.0008603070300262,0.0016676244083676,-0.0005513971223291,-0.0006872715294936,9.56922271869165e-06,2
Ch3.csv,2,3.0,67956,74256,2,0.9989903995649316,3.617108601806547e-05,6.535797850793404e-05,0.0001286819605254,0.0002671363697564,0.0005122530402601,0.0020768311370955,-0.0004504559914741,7.256260361770961e-06,12
Ch3.csv,3,4.0,85733,92033,3,0.998626977492227,0.0008635417123743,0.0001416072201892,6.639930690770797e-05,0.0001033121197973,0.0001981621485043,0.0018268332537199,0.000492540015018,1.4545766929996429e-05,3
Ch3.csv,4,3.0,132966,139266,4,0.9966980662598476,0.0011403470020444,0.0002854334041849,0.0002720640459975,0.0005427182711205,0.0010613710168048,-0.0003632982682182,0.0005324085379453,1.091729038765754e-05,15
Ch3.csv,5,1.0,202624,208924,5,0.994988592548668,0.0001356827349421,0.0003214968196982,0.0006775832839498,0.0013851145725229,0.0024915300402186,-0.0025416952738244,-0.0009142703887782,3.253932548116789e-05,16
Ch3.csv,6,5.0,325613,331913,6,0.9989384016844384,0.0002901209098263,6.395730070638123e-05,0.000101109838385,0.0001980508268649,0.0004083594397786,0.0020616748782877,-0.0001631548303664,-1.736938459911963e-05,21
Ch3.csv,7,2.0,390758,397058,7,0.99894993755803,0.0003314726312907,9.334854995327734e-05,9.6830832896555e-05,0.000177141637133,0.0003512687906965,0.0020929140768638,-9.798321454204673e-05,1.7001128507027063e-05,20
Ch3.csv,8,1.0,561759,568059,8,0.9982107954395528,9.585090753906576e-05,0.0001073934820834,0.0002334752005121,0.0004508797384479,0.0009016052318645,0.0011787641751141,-0.0005008067877811,-4.978172466668651e-06,5
Ch3.csv,9,6.0,613797,620097,9,0.995595583533068,0.0004755317674405,0.000299442718676,0.0004832156332182,0.0010564098162186,0.0020898165313783,-0.0017970717407074,-0.0004504116838207,-2.710206735317966e-05,0
Ch3.csv,10,4.0,710313,716613,10,0.9985745368865812,0.0005410994893204,0.000126457316513,0.0001191048209342,0.0002236321399958,0.000415169346655,0.0017005879837105,9.848969096284964e-05,1.6812560764606355e-05,7
Ch3.csv,11,6.0,717473,723773,11,0.9948077586297724,0.000216465861294,0.000345173593667,0.0006574177895722,0.0013429399693458,0.0026302441563486,-0.0027558974916818,-0.0008661165280279,1.5749737688752765e-06,11
Ch3.csv,12,1.0,743743,750043,12,0.9966829814742344,0.0001202636331117,0.0002398123071167,0.000400106945382,0.0008390112423767,0.0017178243977785,-0.0005972204359718,-0.000701134035478,8.551960179264961e-06,27
Ch3.csv,13,4.0,848164,854464,13,0.9993739131992742,0.0001027565425633,5.011653197484119e-05,6.869716580878025e-05,0.0001399451588405,0.0002645714015381,0.0025385058469461,-0.0003101755257812,1.3907851860034404e-05,13
Ch3.csv,14,3.0,942368,948668,0,0.9953085427485804,0.0001886681202017,0.000287290954924,0.0006266644531196,0.0011401904846298,0.0024486432385442,-0.0021921815052248,-0.0008410532160976,-3.223049290485003e-05,9
Ch3.csv,15,2.0,979662,985962,14,0.9987901430701962,0.0006081307349823,9.196790285123949e-05,7.845462263404987e-05,0.0001395320233609,0.000291771645975,0.001955445721123,0.0001975902908484,-1.6103494895364223e-05,25
Ch3.csv,16,2.0,1084408,1090708,15,0.99809731612645,0.0009254158598955,0.0001736566149797,0.0001268718074471,0.0002144403185664,0.0004622992726612,0.0012181480814134,0.0004809395119008,2.266194892103224e-06,14
Ch3.csv,17,6.0,1201110,1207410,16,0.9963202413312856,0.000211366132261,0.0002636062176471,0.0005333947136818,0.0008932278847373,0.0017781637203867,-0.0009762569579332,-0.0006187173004307,5.4815588894363554e-05,31
Ch3.csv,18,2.0,1278008,1284308,17,0.9976786886697636,0.0016395276453907,0.0002394649369843,7.861760675444891e-05,0.0001243175988735,0.0002393835422332,0.000879907564927,0.0012776400155672,2.273983137596192e-06,26
Ch3.csv,19,2.0,1406333,1412633,18,0.9963007501138446,0.0025651114667237,0.0003662085659413,0.0001312696039747,0.0001993794070667,0.0004372808424488,-0.0005406532818995,0.0021721271016136,-2.197437997056295e-05,18
Ch3.csv,20,4.0,1417023,1423323,19,0.9989796432301284,0.0003410592379642,8.802241699696207e-05,9.367910665689153e-05,0.0001691041364596,0.0003284918717937,0.0021293671262657,-8.256877843854094e-05,1.433862316699286e-05,19
Ch3.csv,21,4.0,1474822,1481122,20,0.9985861864948924,0.0003695560225722,0.000105707684526,0.0001425612516643,0.0002693508142786,0.0005266377320663,0.001674754055441,-0.0001115830209026,3.631660346836707e-06,6
Ch3.csv,22,4.0,1499863,1506163,21,0.998901485311132,0.0002134844890305,8.303624679131965e-05,0.0001280151251791,0.0002325326817817,0.0004414461460851,0.0020134786442003,-0.0002464177440003,1.5393715656841778e-05,22
Ch3.csv,23,4.0,1537110,1543410,22,0.9993590834215212,7.107528677824895e-05,4.671730541245299e-05,7.291580073498117e-05,0.0001565566510816,0.0002936515344714,0.0025137416809951,-0.0003519123795865,1.0360312257651216e-05,8
