time (s), MPD 600 1.1 (V)
-5.59375e-06, -4.12874e-05
-5.57812e-06, -3.25244e-05
-5.5625e-06, -2.19076e-05
-5.54687e-06, -1.01112e-05
-5.53125e-06, 1.34816e-06
-5.51562e-06, 1.14594e-05
-5.5e-06, 1.93798e-05
-5.48437e-06, 2.44354e-05
-5.46875e-06, 2.67947e-05
-5.45312e-06, 2.66262e-05
-5.4375e-06, 2.46039e-05
-5.42187e-06, 2.1065e-05
-5.40625e-06, 1.61779e-05
-5.39062e-06, 1.02797e-05
-5.375e-06, 3.70744e-06
-5.35937e-06, -3.3704e-06
-5.34375e-06, -9.94268e-06
-5.32812e-06, -1.56724e-05
-5.3125e-06, -1.93798e-05
-5.29687e-06, -2.0728e-05
-5.28125e-06, -2.00539e-05
-5.26562e-06, -1.78631e-05
-5.25e-06, -1.44927e-05
-5.23437e-06, -1.09538e-05
-5.21875e-06, -7.24636e-06
-5.20312e-06, -3.53892e-06
-5.1875e-06, 3.3704e-07
-5.17187e-06, 4.04448e-06
-5.15625e-06, 7.75192e-06
-5.14062e-06, 1.11223e-05
-5.125e-06, 1.38186e-05
-5.10937e-06, 1.56724e-05
-5.09375e-06, 1.6852e-05
-5.07812e-06, 1.73576e-05
-5.0625e-06, 1.76946e-05
-5.04687e-06, 1.78631e-05
-5.03125e-06, 1.83687e-05
-5.01562e-06, 1.90428e-05
-5e-06, 2.02224e-05
-4.98437e-06, 2.12335e-05
-4.96875e-06, 2.17391e-05
-4.95312e-06, 2.0728e-05
-4.9375e-06, 1.80316e-05
-4.92187e-06, 1.34816e-05
-4.90625e-06, 7.5834e-06
-4.89062e-06, 8.426e-07
-4.875e-06, -5.72968e-06
-4.85937e-06, -1.12908e-05
-4.84375e-06, -1.51668e-05
-4.82812e-06, -1.7189e-05
-4.8125e-06, -1.73576e-05
-4.79687e-06, -1.63464e-05
-4.78125e-06, -1.41557e-05
-4.76562e-06, -1.16279e-05
-4.75e-06, -8.93156e-06
-4.73437e-06, -6.23524e-06
-4.71875e-06, -3.70744e-06
-4.70312e-06, -1.01112e-06
-4.6875e-06, 1.85372e-06
-4.67187e-06, 4.55004e-06
-4.65625e-06, 7.24636e-06
-4.64062e-06, 9.77416e-06
-4.625e-06, 1.19649e-05
-4.60937e-06, 1.36501e-05
-4.59375e-06, 1.49983e-05
-4.57812e-06, 1.60094e-05
-4.5625e-06, 1.6515e-05
-4.54687e-06, 1.6515e-05
-4.53125e-06, 1.60094e-05
-4.51562e-06, 1.48298e-05
-4.5e-06, 1.31446e-05
-4.48437e-06, 1.12908e-05
-4.46875e-06, 9.10008e-06
-4.45312e-06, 6.7408e-06
-4.4375e-06, 4.38152e-06
-4.42187e-06, 1.85372e-06
-4.40625e-06, -8.426e-07
-4.39062e-06, -3.53892e-06
-4.375e-06, -6.40376e-06
-4.35937e-06, -9.2686e-06
-4.34375e-06, -1.21334e-05
-4.32812e-06, -1.48298e-05
-4.3125e-06, -1.7189e-05
-4.29687e-06, -1.90428e-05
-4.28125e-06, -2.02224e-05
-4.26562e-06, -2.03909e-05
-4.25e-06, -1.95483e-05
-4.23437e-06, -1.78631e-05
-4.21875e-06, -1.60094e-05
-4.20312e-06, -1.39872e-05
-4.1875e-06, -1.24705e-05
-4.17187e-06, -1.11223e-05
-4.15625e-06, -9.43712e-06
-4.14062e-06, -7.07784e-06
-4.125e-06, -3.53892e-06
-4.10937e-06, 1.17964e-06
-4.09375e-06, 6.90932e-06
-4.07812e-06, 1.2639e-05
-4.0625e-06, 1.75261e-05
-4.04687e-06, 2.1065e-05
-4.03125e-06, 2.30872e-05
-4.01562e-06, 2.35928e-05
-4e-06, 2.30872e-05
-3.98437e-06, 2.17391e-05
-3.96875e-06, 1.92113e-05
-3.95312e-06, 1.56724e-05
-3.9375e-06, 1.07853e-05
