frequency (Hz),MPD 600 1.1 (dBm)
2.3625e+07,-162.961
2.36563e+07,-162.782
2.36875e+07,-163.188
2.37188e+07,-163.235
2.375e+07,-165.066
2.37813e+07,-169.907
2.38125e+07,-177.915
2.38438e+07,-170.415
2.3875e+07,-161.632
2.39063e+07,-158.539
2.39375e+07,-160.18
2.39688e+07,-167.314
2.4e+07,-169.291
2.40313e+07,-163.053
2.40625e+07,-163.923
2.40938e+07,-166.166
2.4125e+07,-162.363
2.41563e+07,-162.068
2.41875e+07,-162.665
2.42188e+07,-161.095
2.425e+07,-161.091
2.42813e+07,-167.689
2.43125e+07,-165.98
2.43438e+07,-159.547
2.4375e+07,-158.435
2.44063e+07,-159.135
2.44375e+07,-163.136
2.44688e+07,-178.336
2.45e+07,-170.335
2.45313e+07,-168.276
2.45625e+07,-179.599
2.45938e+07,-168.344
2.4625e+07,-164.542
2.46563e+07,-166.608
2.46875e+07,-173.019
2.47188e+07,-164.271
2.475e+07,-159.599
2.47813e+07,-159.878
2.48125e+07,-162.902
2.48438e+07,-164.67
2.4875e+07,-166.899
2.49063e+07,-177.466
2.49375e+07,-166.533
2.49688e+07,-163.511
2.5e+07,-164.807
2.50313e+07,-165.503
2.50625e+07,-164.462
2.50938e+07,-162.94
2.5125e+07,-160.063
2.51563e+07,-158.809
2.51875e+07,-163.493
2.52188e+07,-176.323
2.525e+07,-164.534
2.52813e+07,-163.239
2.53125e+07,-165.962
2.53438e+07,-169.1
2.5375e+07,-169.689
2.54063e+07,-167.354
2.54375e+07,-164.638
2.54688e+07,-165.631
2.55e+07,-172.535
2.55313e+07,-170.506
2.55625e+07,-167.484
2.55938e+07,-164.792
2.5625e+07,-161.864
2.56563e+07,-162.549
2.56875e+07,-163.649
2.57188e+07,-160.28
2.575e+07,-158.64
2.57813e+07,-160.083
2.58125e+07,-162.712
2.58438e+07,-162.752
2.5875e+07,-161.699
2.59063e+07,-162.142
2.59375e+07,-162.088
2.59688e+07,-161.912
2.6e+07,-161.879
2.60313e+07,-162.257
2.60625e+07,-167.706
2.60938e+07,-172.705
2.6125e+07,-163.699
2.61563e+07,-164.442
2.61875e+07,-169.008
2.62188e+07,-173.13
2.625e+07,-172.553
2.62813e+07,-172.737
2.63125e+07,-168.304
2.63438e+07,-161.564
2.6375e+07,-161.202
2.64063e+07,-170.788
2.64375e+07,-170.295
2.64688e+07,-169.244
2.65e+07,-174.205
2.65313e+07,-165.479
2.65625e+07,-164.124
2.65938e+07,-167.279
2.6625e+07,-165.672
2.66563e+07,-163.501
2.66875e+07,-164.344
2.67188e+07,-161.319
